geoName,Name,RelativePopularity,Locations,PercentageBreakdown,Rank
Kentucky,Potbelly Sandwich,2,474,1,7
Kentucky,Jason's Deli,3,300,1,7
Kentucky,Blimpie,1,156,0,9
Kentucky,Schlotzsky's,0,330,0,9
Louisiana,Subway,77,37540,36,1
Louisiana,Jimmy Johns,58,2755,27,2
Louisiana,Firehouse Subs,29,1200,13,3
Louisiana,Quiznos,24,500,11,4
Louisiana,Jason's Deli,10,300,4,5
Louisiana,Jersey Mikes,5,1973,2,6
Louisiana,Which Wich,5,431,2,6
Louisiana,Blimpie,1,156,0,8
Louisiana,Schlotzsky's,1,330,0,8
Louisiana,Potbelly Sandwich,0,474,0,8
Maine,Subway,75,37540,62,1
Maine,Firehouse Subs,23,1200,19,2
Maine,Quiznos,8,500,6,3
Maine,Jersey Mikes,7,1973,5,4
Maine,Jimmy Johns,7,2755,5,4
Maine,Blimpie,0,156,0,6
Maine,Schlotzsky's,0,330,0,6
Maine,Which Wich,0,431,0,6
Maine,Potbelly Sandwich,0,474,0,6
Maine,Jason's Deli,0,300,0,6
Maryland,Subway,57,37540,45,1
Maryland,Jimmy Johns,30,2755,23,2
Maryland,Firehouse Subs,14,1200,11,3
Maryland,Quiznos,11,500,8,4
Maryland,Jersey Mikes,11,1973,8,4
Maryland,Potbelly Sandwich,2,474,1,6
Maryland,Blimpie,0,156,0,7
Maryland,Schlotzsky's,0,330,0,7
Maryland,Which Wich,0,431,0,7
Maryland,Jason's Deli,1,300,0,7
Massachusetts,Subway,51,37540,67,1
Massachusetts,Jimmy Johns,11,2755,14,2
Massachusetts,Quiznos,6,500,7,3
Massachusetts,Jersey Mikes,5,1973,6,4
Massachusetts,Firehouse Subs,3,1200,3,5
Massachusetts,Blimpie,0,156,0,6
Massachusetts,Schlotzsky's,0,330,0,6
Massachusetts,Which Wich,0,431,0,6
Massachusetts,Potbelly Sandwich,0,474,0,6
Massachusetts,Jason's Deli,0,300,0,6
Michigan,Subway,67,37540,39,1
Michigan,Jimmy Johns,68,2755,39,1
Michigan,Firehouse Subs,12,1200,7,3
Michigan,Quiznos,11,500,6,4
Michigan,Jersey Mikes,10,1973,5,5
Michigan,Blimpie,1,156,0,6
Michigan,Schlotzsky's,0,330,0,6
Michigan,Which Wich,1,431,0,6
Michigan,Potbelly Sandwich,1,474,0,6
Michigan,Jason's Deli,0,300,0,6
Minnesota,Jimmy Johns,81,2755,36,1
Minnesota,Subway,75,37540,33,2
Minnesota,Quiznos,22,500,9,3
Minnesota,Jersey Mikes,16,1973,7,4
Minnesota,Firehouse Subs,14,1200,6,5
Minnesota,Which Wich,9,431,4,6
Minnesota,Blimpie,1,156,0,7
Minnesota,Schlotzsky's,0,330,0,7
Minnesota,Potbelly Sandwich,2,474,0,7
Minnesota,Jason's Deli,1,300,0,7
Mississippi,Subway,86,37540,36,1
Mississippi,Jimmy Johns,61,2755,26,2
Mississippi,Firehouse Subs,42,1200,18,3
Mississippi,Quiznos,22,500,9,4
Mississippi,Which Wich,9,431,3,5
Mississippi,Jersey Mikes,5,1973,2,6
Mississippi,Jason's Deli,6,300,2,6
Mississippi,Blimpie,0,156,0,8
Mississippi,Schlotzsky's,1,330,0,8
Mississippi,Potbelly Sandwich,1,474,0,8
Missouri,Subway,69,37540,35,1
Missouri,Jimmy Johns,70,2755,35,1
Missouri,Firehouse Subs,22,1200,11,3
Missouri,Quiznos,18,500,9,4
Missouri,Jersey Mikes,6,1973,3,5
Missouri,Which Wich,3,431,1,6
Missouri,Potbelly Sandwich,2,474,1,6
Missouri,Jason's Deli,3,300,1,6
Missouri,Blimpie,1,156,0,9
Missouri,Schlotzsky's,1,330,0,9
Montana,Jimmy Johns,94,2755,32,1
Montana,Subway,87,37540,30,2
Montana,Quiznos,45,500,15,3
Montana,Firehouse Subs,29,1200,10,4
Montana,Jersey Mikes,30,1973,10,4
Montana,Blimpie,0,156,0,6
Montana,Schlotzsky's,0,330,0,6
Montana,Which Wich,0,431,0,6
Montana,Potbelly Sandwich,0,474,0,6
Montana,Jason's Deli,0,300,0,6
Nebraska,Jimmy Johns,84,2755,35,1
Nebraska,Subway,75,37540,31,2
Nebraska,Firehouse Subs,27,1200,11,3
Nebraska,Quiznos,22,500,9,4
Nebraska,Jersey Mikes,13,1973,5,5
Nebraska,Which Wich,7,431,2,6
Nebraska,Jason's Deli,7,300,2,6
Nebraska,Blimpie,4,156,1,8
Nebraska,Schlotzsky's,1,330,0,9
Nebraska,Potbelly Sandwich,0,474,0,9
Nevada,Subway,74,37540,33,1
Nevada,Jimmy Johns,62,2755,27,2
Nevada,Firehouse Subs,34,1200,15,3
Nevada,Quiznos,27,500,12,4
Nevada,Jersey Mikes,17,1973,7,5
Nevada,Jason's Deli,7,300,3,6
Nevada,Blimpie,1,156,0,7
Nevada,Schlotzsky's,0,330,0,7
Nevada,Which Wich,2,431,0,7
Nevada,Potbelly Sandwich,0,474,0,7
New Hampshire,Subway,56,37540,67,1
New Hampshire,Firehouse Subs,8,1200,9,2
New Hampshire,Quiznos,7,500,8,3
New Hampshire,Jersey Mikes,6,1973,7,4
New Hampshire,Jimmy Johns,6,2755,7,4
New Hampshire,Blimpie,0,156,0,6
New Hampshire,Schlotzsky's,0,330,0,6
New Hampshire,Which Wich,0,431,0,6
New Hampshire,Potbelly Sandwich,0,474,0,6
New Hampshire,Jason's Deli,0,300,0,6
New Jersey,Subway,44,37540,47,1
New Jersey,Jersey Mikes,19,1973,20,2
New Jersey,Jimmy Johns,12,2755,13,3
New Jersey,Blimpie,8,156,8,4
New Jersey,Quiznos,6,500,6,5
New Jersey,Firehouse Subs,3,1200,3,6
New Jersey,Schlotzsky's,0,330,0,7
New Jersey,Which Wich,0,431,0,7
New Jersey,Potbelly Sandwich,0,474,0,7
New Jersey,Jason's Deli,0,300,0,7
New Mexico,Subway,73,37540,36,1
New Mexico,Jimmy Johns,52,2755,26,2
New Mexico,Firehouse Subs,27,1200,13,3
New Mexico,Quiznos,16,500,8,4
New Mexico,Jersey Mikes,11,1973,5,5
New Mexico,Jason's Deli,10,300,5,5
New Mexico,Which Wich,8,431,4,7
New Mexico,Blimpie,0,156,0,8
New Mexico,Schlotzsky's,1,330,0,8
New Mexico,Potbelly Sandwich,0,474,0,8
