geoName,Name,RelativePopularity,Locations,PercentageBreakdown,Rank
Wisconsin,Blimpie,0,156,0,6
Wisconsin,Schlotzsky's,0,330,0,6
Wisconsin,Which Wich,0,431,0,6
Wisconsin,Potbelly Sandwich,2,474,0,6
Wisconsin,Jason's Deli,1,300,0,6
Wyoming,Jimmy Johns,791,2755,51,1
Wyoming,Subway,600,37540,38,2
Wyoming,Quiznos,125,500,8,3
Wyoming,Jersey Mikes,18,1973,1,4
Wyoming,Blimpie,8,156,0,5
Wyoming,Schlotzsky's,0,330,0,5
Wyoming,Firehouse Subs,0,1200,0,5
Wyoming,Which Wich,0,431,0,5
Wyoming,Potbelly Sandwich,0,474,0,5
Wyoming,Jason's Deli,0,300,0,5
